comunidad_autonoma,provincia,clubes
comunidadvalenciana,valencia,a.c.almassera
andalucia,sevilla,a.c.d.entretorres
catalunya,girona,a.c.e.j.lajunquera
regiondemurcia,murcia,a.c.r.emp
cantabria,cantabria,a.campurriananatacion
cantabria,cantabria,a.cantabranat.
aragon,zaragoza,a.d.a.calatayud
cantabria,cantabria,a.d.alberdiproinca
andalucia,sevilla,a.d.aljarafexxi
andalucia,jaen,a.d.arjona
comunidadvalenciana,valencia,a.c.almassera
andalucia,sevilla,a.c.d.entretorres
catalunya,girona,a.c.e.j.lajunquera
regiondemurcia,murcia,a.c.r.emp
cantabria,cantabria,a.campurriananatacion
cantabria,cantabria,a.cantabranat.
aragon,zaragoza,a.d.a.calatayud
cantabria,cantabria,a.d.alberdiproinca
andalucia,sevilla,a.d.aljarafexxi
andalucia,jaen,a.d.arjona
castilla-lamancha,albacete,a.d.atlantida
castillayleon,leon,a.d.bierzoalto
comunidaddemadrid,madrid,a.d.c.lasmatas
castilla-lamancha,toledo,a.d.c.nara
andalucia,sevilla,a.d.castalla
andalucia,sevilla,a.d.d.y.a.
galicia,acoruña,a.d.fogar
castilla-lamancha,albacete,a.d.guacamayo
galicia,acoruña,a.d.inefgalicia
principadodeasturias,asturias,a.d.manuelllaneza
regiondemurcia,murcia,a.d.marmenor
regiondemurcia,murcia,a.d.municipalyecla
extremadura,caceres,a.d.n.caceres
andalucia,sevilla,a.d.n.mairenadelalcor
paisvasco,vizcaya,a.d.n.maristas
comunidaddemadrid,madrid,a.d.n.mostoles
galicia,acoruña,a.d.naut.denaron
andalucia,sevilla,a.d.nazarenaplat.
castillayleon,zamora,a.d.neptunozamora
aragon,huesca,a.d.perpetuosocorro
extremadura,caceres,a.d.plasencia96
aragon,huesca,a.d.ramonycajal
comunidaddemadrid,madrid,a.d.rivasnatacion
canarias,santacruzdetenerife,a.d.santacruz
catalunya,barcelona,a.d.sarria
comunidaddemadrid,madrid,a.d.sincroretiro
canarias,santacruzdetenerife,a.d.tensalus
galicia,acoruña,a.d.triatlonoleiros
extremadura,badajoz,a.d.triatlonpacense
comunidadforaldenavarra,navarra,a.d.u.n.a.
cantabria,cantabria,a.d.waterpolosantoña
aragon,zaragoza,a.d.waterpolozaragoza
aragon,huesca,a.d.zoiti89
castillayleon,leon,a.e.f.d.shotokan
catalunya,barcelona,a.e.n.jupitersantmarti
catalunya,barcelona,a.e.noubarris
catalunya,barcelona,a.e.santaeulalia
catalunya,barcelona,a.e.sincromataro
catalunya,barcelona,a.e.trinitatvella
castillayleon,salamanca,a.helmanticanat.
islasbaleares,baleares,a.masterbaleares
castillayleon,burgos,a.mirandesadenat.
andalucia,sevilla,a.n.andaluza2004
catalunya,barcelona,a.n.gramenet
andalucia,jaen,a.p.martos
galicia,acoruña,a.padresyamigos
comunidaddemadrid,madrid,a.r.concepcionciudadlineal
castilla-lamancha,toledo,a.r.losalcores
paisvasco,vizcaya,abadiñokoastolai.k.t.
comunidadvalenciana,valencia,acquasincroartisticaelpuig
castillayleon,valladolid,ad.barriovictoria
cantabria,cantabria,ad.n.bahiasantander
andalucia,cadiz,ad.puertosta.maria
,,ae.n.xtothomlleida
catalunya,barcelona,agr.e.cancaralleu
aragon,huesca,aironc.
paisvasco,alava,alava
andalucia,cordoba,albaida
catalunya,lleida,almacellesn.c.
paisvasco,guipuzcoa,aloñamendik.e.
principadodeasturias,asturias,amigosriadenavia
paisvasco,vizcaya,amorebieta-etxano
paisvasco,vizcaya,amorebieta-etxanowaterpolo
comunidadvalenciana,valencia,aquatichortanord
aragon,zaragoza,aragonmasterc.d.
comunidadforaldenavarra,navarra,ardoic.n.i.k.
aragon,zaragoza,arenass.d.
andalucia,cordoba,asoc.dep.debase
paisvasco,guipuzcoa,asoc.vet.guipuzcoa
extremadura,caceres,asociaciondeportivaacuatica
catalunya,tarragona,associacioesportivasincrovalfago
principadodeasturias,asturias,asturn.c.
catalunya,barcelona,ateneusantboia
paisvasco,guipuzcoa,atleticosansebastian
castilla-lamancha,ciudadreal,atleticotomellosonatacion
paisvasco,vizcaya,atxondoi.k.t.
catalunya,barcelona,b.atneumontserrat
andalucia,almeria,bahiadealmerian.c
paisvasco,guipuzcoa,barduliai.k.t.
catalunya,girona,besaluc.n.
islasbaleares,baleares,bestmediterranean
paisvasco,vizcaya,bilbaoaingeruakigeriketakluba
comunidadforaldenavarra,navarra,bisairesc.n.
paisvasco,vizcaya,bizkaia
paisvasco,guipuzcoa,buruntzaldeaikt
andalucia,malaga,c..d.tiburonblanco
regiondemurcia,murcia,c.a.a.alone
comunidadvalenciana,castellon,c.a.baixmaestrat
galicia,acoruña,c.a.n.d.oleiros
comunidadvalenciana,alicante,c.a.n.illadebenidorm
catalunya,barcelona,c.a.s.colomo-olimpo
paisvasco,guipuzcoa,c.a.sansebastian
catalunya,lleida,c.a.torresdesegre
castilla-lamancha,albacete,c.acuaticoalbacete
castillayleon,salamanca,c.acuaticosalamanca
castilla-lamancha,albacete,c.ademan
islasbaleares,baleares,c.aiguaesportarta
castilla-lamancha,albacete,c.al-basit
comunidaddemadrid,madrid,c.alamedadeosuna
islasbaleares,baleares,"c.amistatdeserveissocials,esportiusialajoventut"
catalunya,girona,"c.angles-farnes""laselva"""
comunidadvalenciana,castellon,c.aquaticcastello
comunidadvalenciana,alicante,c.aquaticdealicante
principadodeasturias,asturias,c.aquaticoavilessolras
catalunya,girona,c.aquaticxaloc
paisvasco,vizcaya,c.arkitze
paisvasco,vizcaya,c.askartza
andalucia,cordoba,c.asland
galicia,acoruña,c.asoc.coruñesadewat.
principadodeasturias,asturias,c.asturianooviedo
galicia,acoruña,c.atleticoarteixo
comunidadvalenciana,alicante,c.atleticonadir
aragon,huesca,c.atletismohuesca
catalunya,barcelona,c.b.bosco
canarias,santacruzdetenerife,c.b.dominicasvistabella
andalucia,almeria,c.b.rebote
andalucia,malaga,c.b.torredelmar
andalucia,cadiz,c.b.vicentetofiño
comunidaddemadrid,madrid,c.b.villanuevadelacañada
andalucia,sevilla,c.balonmanocoria
melilla,melilla,c.c.delosejercitos
paisvasco,vizcaya,c.c.s.bilbaina
cantabria,cantabria,c.calasanz
andalucia,granada,c.caminosdegranada
galicia,acoruña,c.campodeferrol
andalucia,jaen,c.campodejaen
andalucia,granada,c.cartuja
castilla-lamancha,albacete,c.ceman
aragon,zaragoza,c.cincovillas
regiondemurcia,murcia,c.costacalida
andalucia,granada,c.costatropical
castillayleon,zamora,c.d.a.d.zamora
castilla-lamancha,albacete,c.d.albaceteswim
castilla-lamancha,guadalajara,c.d.alcarreñodes.
catalunya,barcelona,c.d.alfa-5
comunidadforaldenavarra,navarra,c.d.amaya
castilla-lamancha,ciudadreal,c.d.aquadevaldepeñas
andalucia,sevilla,c.d.aquasalvamento
andalucia,malaga,c.d.aquaslava
andalucia,sevilla,c.d.aquatierra
castillayleon,burgos,c.d.arete
castilla-lamancha,ciudadreal,c.d.atenea
andalucia,sevilla,c.d.aznalcazar
comunidaddemadrid,madrid,c.d.b.villaviciosadeodon
canarias,laspalmas,c.d.belenmaria
larioja,larioja,c.d.berceo
paisvasco,vizcaya,c.d.bilbao
canarias,santacruzdetenerife,c.d.casadevenezuelaencanarias
andalucia,granada,c.d.clarin
comunidadvalenciana,alicante,c.d.colegioelvalle
castilla-lamancha,albacete,c.d.delfineshellin
canarias,santacruzdetenerife,c.d.denatacionerese
comunidaddemadrid,madrid,c.d.e.calipso
comunidaddemadrid,madrid,c.d.e.mako
comunidaddemadrid,madrid,c.d.e.malvar
comunidaddemadrid,madrid,c.d.e.natacionchiboi
castilla-lamancha,toledo,c.d.e.polid.quijote
comunidaddemadrid,madrid,c.d.e.sierradeguadarrama
andalucia,sevilla,c.d.elgiraldillo
comunidaddemadrid,madrid,c.d.elvalle
melilla,melilla,c.d.enriquesoler
andalucia,sevilla,c.d.epsilonsevilla
castilla-lamancha,ciudadreal,c.d.escuelanadadorestomelloso
comunidaddemadrid,madrid,c.d.espartaalcorcon
andalucia,sevilla,c.d.espartinas
paisvasco,guipuzcoa,c.d.fortuna
comunidaddemadrid,madrid,c.d.futsi
andalucia,sevilla,c.d.gines
andalucia,granada,c.d.granadanatacionmaster
catalunya,barcelona,c.d.granvia-mar
comunidaddemadrid,madrid,c.d.gredossandiego
andalucia,huelva,c.d.h2o
comunidaddemadrid,madrid,c.d.halegatos
canarias,laspalmas,c.d.herbania
larioja,larioja,c.d.hydra
andalucia,granada,c.d.inacuaantonioprieto
andalucia,cordoba,c.d.indea
paisvasco,vizcaya,"c.d.izarra,i.c."
andalucia,cadiz,c.d.jereznatacionmaster
canarias,laspalmas,c.d.jescagua
andalucia,cadiz,c.d.lamolinera
paisvasco,guipuzcoa,c.d.lasarte-oria
comunidadvalenciana,castellon,c.d.lledo
andalucia,granada,c.d.losalamosmotril
castilla-lamancha,guadalajara,c.d.m.guadalajara
andalucia,sevilla,c.d.m.sanfernando
andalucia,huelva,c.d.masterhuelva
andalucia,huelva,c.d.mastertartessos
canarias,santacruzdetenerife,c.d.mistral
catalunya,barcelona,c.d.moia
comunidadvalenciana,alicante,c.d.monovar
principadodeasturias,asturias,c.d.multideportesoviedo
andalucia,sevilla,c.d.n.arahal
canarias,santacruzdetenerife,c.d.n.bajalarga
canarias,santacruzdetenerife,c.d.n.bentacu-laguna
paisvasco,guipuzcoa,c.d.n.bidasoaxxi
andalucia,sevilla,c.d.n.cazalla
andalucia,cadiz,c.d.n.chiclana
galicia,acoruña,c.d.n.ciudaddesantiago
andalucia,cordoba,c.d.n.cordoba
andalucia,malaga,c.d.n.inacuamalaga
andalucia,almeria,c.d.n.macael
andalucia,sevilla,c.d.n.masterlosalcores
castillayleon,valladolid,c.d.n.mastervalladolid
paisvasco,vizcaya,c.d.n.meatzaldeadeabantoyzierbena
canarias,laspalmas,c.d.n.nadamaslasmarinas
,,c.d.n.palmadelrio
andalucia,malaga,c.d.n.puertodelatorre
castillayleon,leon,c.d.n.sanandres
castillayleon,zamora,c.d.n.sanjoseobrero
andalucia,cadiz,c.d.n.sanlucar
canarias,laspalmas,c.d.n.schamann
andalucia,cadiz,c.d.n.sincronizadaalgeciras
paisvasco,vizcaya,c.d.n.sincronizadasestao
comunidaddemadrid,madrid,c.d.n.torrejon
paisvasco,guipuzcoa,c.d.n.urpolozaleakdedonostia
andalucia,granada,c.d.n.valparaisodegranada
castillayleon,zamora,c.d.n.zamora
andalucia,jaen,c.d.natacion79
andalucia,jaen,c.d.natacionandujar
comunidaddemadrid,madrid,c.d.natacionboadilla
castillayleon,salamanca,c.d.natacioncalle4
andalucia,jaen,c.d.natacioncastulo
andalucia,almeria,c.d.natacionmaster
castillayleon,valladolid,c.d.natacionmedinense
canarias,santacruzdetenerife,c.d.natacionneptunya
comunidadforaldenavarra,navarra,c.d.noain
canarias,laspalmas,c.d.nonadamos
andalucia,malaga,c.d.novaschool
comunidadvalenciana,valencia,c.d.olimpicjativa
aragon,zaragoza,c.d.paraiso
castillayleon,valladolid,c.d.parquesol
principadodeasturias,asturias,c.d.pedromenendez
,,c.d.piratasteruel
andalucia,almeria,c.d.portosol
andalucia,sevilla,c.d.poseidon
castilla-lamancha,guadalajara,c.d.quabeartistica
andalucia,malaga,c.d.resist4
andalucia,cadiz,c.d.rotatiburones
andalucia,almeria,c.d.s.e.k.
andalucia,sevilla,c.d.sadus
comunidadforaldenavarra,navarra,c.d.sakanaigeriketataldea
comunidadvalenciana,valencia,c.d.salvamentonatacionsilla
regiondemurcia,murcia,c.d.santaana
catalunya,barcelona,c.d.santjoan
comunidaddemadrid,madrid,c.d.sek
principadodeasturias,asturias,c.d.siero-deporte
aragon,huesca,c.d.sincrobarbastro
canarias,laspalmas,c.d.sincrograncamar
islasbaleares,baleares,c.d.sincroibiza
comunidadvalenciana,alicante,c.d.stadioalicante
andalucia,granada,c.d.swimgranada
catalunya,barcelona,c.d.talamanca
comunidadvalenciana,castellon,c.d.teamevasionrunning
castillayleon,burgos,c.d.tizonaburgos
castillayleon,valladolid,c.d.torrelagowellness
castilla-lamancha,toledo,c.d.trampolin
,,c.d.trecus
,,c.d.triatlonalhaurindelatorre
andalucia,almeria,c.d.turaniana
andalucia,malaga,c.d.univ.demalaga
andalucia,almeria,c.d.universidaddealmeria
galicia,acoruña,c.d.universidaddesantiago
andalucia,jaen,c.d.universitario
andalucia,sevilla,c.d.utreraacuatica
comunidaddemadrid,madrid,c.d.vand´03
principadodeasturias,asturias,c.d.villadepravia
andalucia,sevilla,c.d.virgendereyes
comunidadforaldenavarra,navarra,c.d.waterpoloiruña9802
andalucia,malaga,c.d.waterpolomalaga
comunidadforaldenavarra,navarra,c.d.waterpolonavarra
comunidadvalenciana,valencia,c.d.waterpoloturia
andalucia,malaga,c.dehielobenalmadena
castilla-lamancha,toledo,c.dep.patosverdes
comunidadvalenciana,valencia,c.deportivoalquimia
andalucia,cadiz,c.deportivoipponraulcalvo
andalucia,malaga,c.derecho(waterpolo)
melilla,melilla,c.detiromosqueteros
catalunya,barcelona,c.drink
castillayleon,segovia,c.dtriatlonlacerta
andalucia,cadiz,c.dwaterpolosanlucar
catalunya,lleida,c.e.bellvis
islasbaleares,baleares,c.e.bucaner
catalunya,tarragona,c.e.dinamicsamposta
comunidadvalenciana,alicante,c.e.eldense
catalunya,barcelona,c.e.guardiaurbanadebarcelona
catalunya,lleida,c.e.inefdelleida
catalunya,barcelona,c.e.latosca
catalunya,barcelona,c.e.mediterrani
catalunya,lleida,c.e.n.balaguer
catalunya,barcelona,c.e.n.cabrerademar
catalunya,barcelona,c.e.n.casal
catalunya,barcelona,c.e.palauplegamans
catalunya,barcelona,c.e.panteresgrogues
catalunya,barcelona,c.e.picornell
islasbaleares,baleares,c.e.sincroinca
catalunya,tarragona,c.e.vendrell
andalucia,malaga,c.elcandado
extremadura,badajoz,c.elcorzo
andalucia,cadiz,c.elpicacho
comunidaddemadrid,madrid,c.encinasdeboadilla
catalunya,barcelona,c.escolapiossarria
andalucia,cordoba,c.escuderiaalba
principadodeasturias,asturias,c.escuelan.langreo
principadodeasturias,asturias,c.espartal
islasbaleares,baleares,c.esportsmasters
catalunya,lleida,c.esquivalld'aran
andalucia,granada,c.evicdeporte
andalucia,cordoba,c.figueroa
galicia,lugo,c.fluvialdelugo
extremadura,badajoz,c.fregenalsierra
andalucia,jaen,c.fuentedelrey
galicia,pontevedra,c.galaicosincro
andalucia,cordoba,c.gimnasticomedico
andalucia,cordoba,c.golflosvillares
castillayleon,leon,c.hispanico
comunidadforaldenavarra,navarra,c.huarte
paisvasco,alava,c.igeriketalaudio
andalucia,jaen,c.ignaciosafa
castillayleon,zamora,c.ins.dep.iberdrola
andalucia,granada,c.item
paisvasco,vizcaya,c.kai-eder(nat.)
paisvasco,vizcaya,c.landatxueta
melilla,melilla,c.lomamargaritas
extremadura,badajoz,c.lospatos
galicia,acoruña,c.m.i.clubdecampo
melilla,melilla,c.m.melilla
comunidaddemadrid,madrid,c.m.n.arganda
galicia,acoruña,c.marinedas.d.
paisvasco,vizcaya,c.martiartu
galicia,pontevedra,c.marvillagarcia
andalucia,sevilla,c.mediosacuaticos
islasbaleares,baleares,c.mediterranea
comunidadvalenciana,castellon,c.mediterranisincro
principadodeasturias,asturias,c.mejorasdelvalle
andalucia,sevilla,c.militardeportivo
catalunya,lleida,c.mirasan
extremadura,badajoz,c.n.a.pueblonuevo
castillayleon,avila,c.n.abulense
paisvasco,vizcaya,c.n.ademar
canarias,laspalmas,c.n.aguacan
regiondemurcia,murcia,c.n.aguilas
canarias,laspalmas,c.n.aguimayro
castilla-lamancha,ciudadreal,c.n.alarcosciudadreal
castilla-lamancha,albacete,c.n.albacete
comunidadvalenciana,castellon,c.n.albacora
galicia,acoruña,c.n.albatros
andalucia,sevilla,c.n.alcala
comunidaddemadrid,madrid,c.n.alcalah
catalunya,tarragona,c.n.alcanar
regiondemurcia,murcia,c.n.alcantarilla
castilla-lamancha,ciudadreal,c.n.alcazar
comunidaddemadrid,madrid,c.n.alcobendas
comunidadvalenciana,alicante,c.n.alcoi
comunidadvalenciana,alicante,c.n.alcoyano
comunidadvalenciana,alicante,c.n.alfailicitano
regiondemurcia,murcia,c.n.alhama
andalucia,granada,c.n.alhambra
andalucia,malaga,c.n.alhaurinelgrande
castilla-lamancha,albacete,c.n.almansa
catalunya,lleida,c.n.almenar
extremadura,badajoz,c.n.almendralejo
andalucia,almeria,c.n.almeria
andalucia,malaga,c.n.alora
aragon,huesca,c.n.altoaragon
catalunya,tarragona,c.n.amposta
paisvasco,alava,c.n.amurrio
andalucia,almeria,c.n.andaraz
islasbaleares,baleares,c.n.andratx
regiondemurcia,murcia,c.n.antartida
catalunya,tarragona,c.n.aquamasters
comunidadvalenciana,valencia,c.n.aquaticfuelsportvalencia
comunidaddemadrid,madrid,c.n.aranjuez
andalucia,granada,c.n.armilla
larioja,larioja,c.n.arnedo
paisvasco,guipuzcoa,c.n.arrasate
galicia,acoruña,c.n.arteixo
catalunya,barcelona,c.n.artes
catalunya,barcelona,c.n.artesadesegre
comunidadvalenciana,valencia,c.n.artisticaatlantis
comunidadvalenciana,alicante,c.n.artisticapswaterbenidorm
galicia,acoruña,c.n.arzua
comunidadvalenciana,alicante,c.n.aspe
galicia,acoruña,c.n.aspontes
cantabria,cantabria,c.n.astillero
principadodeasturias,asturias,c.n.astur-union
principadodeasturias,asturias,c.n.asturovi
comunidadvalenciana,valencia,c.n.atlanta
catalunya,barcelona,c.n.atletic-barceloneta
principadodeasturias,asturias,c.n.aviles
catalunya,barcelona,c.n.avinyo
andalucia,malaga,c.n.axarquia
comunidadvalenciana,castellon,c.n.azaharsincro
comunidadvalenciana,castellon,c.n.azaharvila-real
castilla-lamancha,ciudadreal,c.n.azuer
extremadura,badajoz,c.n.badajoz
catalunya,barcelona,c.n.badalona
catalunya,barcelona,c.n.badia
andalucia,cadiz,c.n.bahiadecadiz
cantabria,cantabria,c.n.bahiaostende
galicia,pontevedra,c.n.baixomiño
catalunya,barcelona,c.n.balsereny
catalunya,girona,c.n.banyoles
paisvasco,vizcaya,c.n.barakaldo
catalunya,barcelona,c.n.barcelona
paisvasco,vizcaya,c.n.basauri
regiondemurcia,murcia,c.n.begastri
andalucia,sevilla,c.n.bellavista
comunidadvalenciana,castellon,c.n.benicarlo
comunidadvalenciana,alicante,c.n.benidorm
comunidadvalenciana,valencia,c.n.benifayo
comunidadvalenciana,alicante,c.n.benissa
paisvasco,guipuzcoa,c.n.bergara
comunidadvalenciana,valencia,c.n.betera
castillayleon,leon,c.n.bierzo-ponferrada
catalunya,girona,c.n.blanes
galicia,acoruña,c.n.boiro
andalucia,sevilla,c.n.bormujos
castilla-lamancha,albacete,c.n.buceociudaddehellin
castillayleon,burgos,c.n.burgos
comunidadforaldenavarra,navarra,c.n.burlada
catalunya,lleida,c.n.butsenit
andalucia,almeria,c.n.c.frusol
andalucia,cadiz,c.n.caballa
ceuta,ceuta,c.n.caballa-ciudaddeceuta
extremadura,caceres,c.n.caceres
andalucia,cadiz,c.n.cadiz
catalunya,barcelona,c.n.caldes
catalunya,barcelona,c.n.calella
comunidadvalenciana,alicante,c.n.calpe
islasbaleares,baleares,c.n.calvia
cantabria,cantabria,c.n.camargo
andalucia,sevilla,c.n.camas
comunidadvalenciana,valencia,c.n.campdemorvedre
comunidadforaldenavarra,navarra,c.n.campoamor
